mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
10	10	27	27	3.0	0	0	3/4	2	1	III+		a	i		III+	III	+						+	1	1	-3, 1, 5		-3	-3
11	11	30	30	3.0	0	0	3/4	2	1	V43		a	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
12	12	33	33	3.0	0	0	3/4	2	1	iv7(+6)|DC		a	i		iv7(+6)	iv		7	+6		DC		mm7	1	1	-1, -4, 0, -3	2	-1	-1
13	13	36	36	3.0	0	0	3/4	2	1	IV7(+6)		a	i		IV7(+6)	IV		7	+6				Mm7	1	1	-1, 3, 0, -3	2	-1	-1
14	14	39	39	3.0	0	0	3/4	2	1	iv7(+6)		a	i		iv7(+6)	iv		7	+6				mm7	1	1	-1, -4, 0, -3	2	-1	-1
15	15	42	42	3.0	0	0	3/4	2	1	IV7(+6)		a	i		IV7(+6)	IV		7	+6				Mm7	1	1	-1, 3, 0, -3	2	-1	-1
16	16	45	45	0.5	0	0	3/4	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
16	16	91/2	91/2	0.5	1/8	1/8	3/4	2	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
16	16	46	46	0.5	1/4	1/4	3/4	2	1	V43/V		a	i		V43/V	V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
16	16	93/2	93/2	0.5	3/8	3/8	3/4	2	1	vi		a	i		vi	vi							m	1	1	-4, -7, -3		-4	-4
16	16	47	47	0.5	1/2	1/2	3/4	2	1	III6		a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
16	16	95/2	95/2	0.5	5/8	5/8	3/4	2	1	viio/V		a	i		viio/V	vii	o			V			o	1	1	6, 3, 0		6	6
17	17	48	48	0.5	0	0	3/4	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
17	17	97/2	97/2	0.5	1/8	1/8	3/4	2	1	I6		a	i		I6	I		6					M	1	1	4, 1, 0		0	4
17	17	49	49	1.0	1/4	1/4	3/4	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
17	17	50	50	1.0	1/2	1/2	3/4	2	1	v%7		a	i		v%7	v	%	7					%7	1	1	1, -2, -5, -1		1	1
18	18	51	51	0.75	0	0	3/4	2	1	i|PAC}{		a	i		i	i					PAC	}{	m	1	1	0, -3, 1		0	0
18	18	207/4	207/4	0.5	3/16	3/16	3/4	2	1	v7	V7	a	i		v7	v		7					mm7	1	1	1, -2, 2, -1		1	1
18	18	209/4	209/4	0.5	5/16	5/16	3/4	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
18	18	211/4	211/4	0.5	7/16	7/16	3/4	2	1	v7	V7	a	i		v7	v		7					mm7	1	1	1, -2, 2, -1		1	1
18	18	213/4	213/4	0.25	9/16	9/16	3/4	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
